tanggal,deskripsi_transaksi,kategori,nominal
2023-07-16,main bowling,Hiburan,99000.0
2022-08-08,beli ayam geprek +,Konsumsi,120000.0
2022-09-12,grabfood bubur gudeg,Konsumsi,28000.0
2024-03-02,order kk320 kaos kaki wanita,Belanja,8000.0
2024-03-31,iuran kematian,Lain-lain,310000.0
2023-07-31,flex tape lakban isolasi,Belanja,15500.0
2023-10-11,obat flu,Kesehatan,324000.0
2023-03-07,bli ayam taliwang,Konsumsi,196000.0
2024-05-21,nyicil vention ibe 3m,Belanja,22407.0
2024-10-07,beli tas wanita kl,Belanja,19000.0
2024-01-10,belanja di informa,Belanja,75000.0
2024-04-08,vention tws wireless bluetooth,Belanja,119000.0
2023-01-05,seblak kriting,Konsumsi,70000.0
2024-12-07,nyicil bumi aksara -,Belanja,134000.0
2023-12-31,vitamin d,Kesehatan,158000.0
2023-11-29,nyicil bundling buy 1,Belanja,45000.0
2023-07-28,isi e-money,Transportasi,59000.0
2024-11-08,checkout new product sale dalanova,Belanja,1015000.0
2019-11-11,nasi ayam,Konsumsi,137000.0
2023-09-02,nyicil wellen print -,Belanja,21500.0
2022-09-04,gofood nasi chickats,Konsumsi,75000.0
2023-10-19,fotocopy,Lain-lain,277000.0
2023-09-17,order buah mangga harum,Belanja,20000.0
2024-02-04,beli shumo lemari pakaian baju,Belanja,725000.0
2023-07-03,nongkrong di marugame udon,Konsumsi,144000.0
2023-03-07,order octarine - bundling beli,Belanja,156000.0
2023-09-06,beli sbn,Investasi,277000.0
2023-04-04,beli trivico minyak zaitun murni,Belanja,66999.0
2023-06-30,denda telat byr,Lain-lain,40000.0
2023-07-06,nyicil hijab segi empat,Belanja,17940.0
2023-04-28,order isi 3 pcs,Belanja,107900.0
2023-07-25,bli kabel charger,Belanja,804000.0
2024-10-02,checkout pro biker sarung,Belanja,24900.0
2023-08-10,beli thinwall gelas puding 150ml,Belanja,880.0
2023-02-16,beli pasmina iner ciput pasmin,Belanja,25950.0
2023-07-28,nyicil berrybenka - sepatu,Belanja,110000.0
2024-02-29,vitamin c,Kesehatan,281000.0
2023-06-11,checkout [creator's pick] emina glossy,Belanja,52080.0
2023-06-01,admin mandiri,Lain-lain,422000.0
2022-10-21,gofood paket ori,Konsumsi,47000.0
2023-07-21,photobox,Hiburan,86000.0
2023-09-07,tol jakarta,Transportasi,234000.0
2023-02-20,sweaterpolos basic sablon,Belanja,61900.0
2023-10-11,jajan bakso,Konsumsi,54000.0
2024-01-22,checkout ugreen mousepad gaming original,Belanja,69000.0
2023-02-18,garpu,Belanja,243000.0
2024-09-05,checkout rinnai kompor gas 2,Belanja,850700.0
2021-05-11,gofood nasi tempe +,Konsumsi,71000.0
2023-11-07,jajan es teh,Konsumsi,45000.0
2021-06-16,beli lotek double,Konsumsi,28000.0
2023-11-08,jajan nasi kikil,Konsumsi,20000.0
2023-11-12,es teler oreo,Konsumsi,19000.0
2024-05-02,langganan apple music,Hiburan,499000.0
2024-12-13,nyicil terry palmer luxury flavio,Belanja,183920.0
2023-09-07,kacamata minus elegan,Belanja,10500.0
2021-12-19,bento special 3,Konsumsi,91000.0
2020-07-01,sate padang,Konsumsi,38000.0
2023-08-21,tambal ban,Transportasi,102000.0
2022-11-01,paket es,Konsumsi,60000.0
2024-11-22,beli lifebuoy total 10,Belanja,33500.0
2022-05-19,beli nasi ayam,Konsumsi,56000.0
2023-06-25,order maimeite chopper &,Belanja,98000.0
2023-10-05,parkir gym,Transportasi,150000.0
2023-07-01,nyicil panci,Belanja,63000.0
2020-02-24,gofood rocket 9,Konsumsi,142000.0
2024-08-13,checkout kursi gaming gamer,Belanja,980000.0
2024-11-14,isku kunci inggris,Belanja,64000.0
2023-12-11,skeling gigi,Kesehatan,78000.0
2024-01-20,original bintang obor buku,Belanja,45000.0
2021-07-17,beli lotek + bakwan,Konsumsi,137000.0
2024-08-06,beli specs sepatu running,Belanja,749800.0
2022-11-16,grabfood sego sd-1 bakso,Konsumsi,82000.0
2023-12-16,jajan kerak telor,Konsumsi,51000.0
2023-11-08,nyicil kacamata hitam jennie,Belanja,29000.0
2019-10-26,gofood ayam original,Konsumsi,60000.0
2020-08-01,nasi ayam,Konsumsi,19000.0
2023-06-28,nyicil gantungan kunci nailong dino,Belanja,13000.0
2023-01-24,nyicil antarestar official - baselayer,Belanja,189000.0
2023-10-24,nyicil plastik case klip,Belanja,1250.0
2024-11-07,beli bnb barenbliss roll,Belanja,63500.0
2024-07-22,order omnergee apron premium smock,Belanja,119000.0
2022-05-13,grabfood nasi rendang,Konsumsi,73000.0
2023-02-03,shampo,Belanja,755000.0
2023-10-22,member gym,Kesehatan,305000.0
2023-02-18,grabfood nasi balap,Konsumsi,33000.0
2024-04-13,checkout fleco f201 speaker,Belanja,134000.0
2023-07-31,langganan disney+,Hiburan,204000.0
2023-06-12,beli jam tangan pria wanita,Belanja,112638.0
2024-04-29,token listrik,Tagihan,801000.0
2024-03-16,byr bpjs,Tagihan,841000.0
2023-06-20,langganan chatgpt,Hiburan,412000.0
2023-11-07,bli raket,Kesehatan,133000.0
2022-06-28,pesen nasi goreng,Konsumsi,136000.0
2020-01-26,grabfood kupat tahu,Konsumsi,93000.0
2024-02-22,grab dari kos,Transportasi,238000.0
2022-05-02,beli panas 1 krispy,Konsumsi,128000.0
2022-06-09,pesen nasi gajah geprek,Konsumsi,112000.0
2023-11-16,beli seblak garut spesial,Konsumsi,122000.0
2023-01-12,nonton bioskop,Hiburan,185000.0
2024-12-01,sewa lapangan basket,Kesehatan,477000.0
2023-05-02,nasi liwet,Konsumsi,23000.0
2024-12-24,order dcollection ar 11 sandal,Belanja,98500.0
2024-01-28,checkout price sapu ijuk,Belanja,55000.0
2023-06-28,checkout kemeja batik lengan,Belanja,49900.0
2023-01-29,pulsa indosat,Tagihan,834000.0
2019-09-18,grabfood nasi +,Konsumsi,142000.0
2021-10-29,grabfood panas 2,Konsumsi,110000.0
2024-03-21,beli dress batik anak,Belanja,580000.0
2024-07-18,nyicil ohsome - funfunland gantungan,Belanja,59900.0
2024-04-05,bli materai,Lain-lain,437000.0
2024-09-05,checkout rok lilit polos,Belanja,29000.0
2021-10-14,pesen bakso jumbo,Konsumsi,80000.0
2023-08-10,zink,Kesehatan,332000.0
2023-10-27,keramik platinum ceramics sweden,Belanja,135000.0
2024-12-10,beli philips led bulb,Belanja,13500.0
2023-05-11,nonton bioskop,Hiburan,451000.0
2024-02-07,antangin,Kesehatan,44000.0
2023-01-06,checkout [original] octavia sepatu flatshoes,Belanja,188000.0
2023-02-17,parfum super quality,Belanja,45000.0
2023-11-25,patungan,Lain-lain,456000.0
2024-12-02,checkout koper 24 inch,Belanja,149000.0
2023-10-21,grabfood nasi ayam geprek,Konsumsi,64000.0
2024-03-30,ganti rugi,Lain-lain,382000.0
2023-03-03,beli ikan nila goreng,Konsumsi,107000.0
2023-04-04,cireng,Konsumsi,58000.0
2023-07-21,nyicil workplant - batu,Belanja,9400.0
2024-04-22,checkout sepatu hells selop wanita,Belanja,39900.0
2021-08-07,beli mellaca - large,Konsumsi,32000.0
2024-03-03,tagihan pdam,Tagihan,335000.0
2023-02-08,kripik usus ayam,Belanja,72999.0
2024-05-01,dumbbell,Kesehatan,349000.0
2024-11-05,order arte properti foto,Belanja,19999.0
2022-07-11,pesen paket 3,Konsumsi,132000.0
2024-05-18,nyicil bcare mirrorless digital,Belanja,376860.0
2023-06-17,order advance chp-18 food chopper,Belanja,199000.0
2021-01-10,pesen french fries chicken,Konsumsi,139000.0
2023-06-18,langganan chatgpt,Hiburan,446000.0
2022-02-06,jus choco,Konsumsi,36000.0
2023-01-06,nyicil oli motor honda mpx3,Belanja,65800.0
2024-09-04,beli reksadana obligasi,Investasi,760000.0
2021-11-06,pesen chicken,Konsumsi,84000.0
2024-12-17,beras rojolele 20 kg,Belanja,315000.0
2023-04-23,starbucks,Konsumsi,25000.0
2024-06-16,nyicil hand & body lotion,Belanja,8750.0
2023-04-07,jajan nasi cumi judes,Konsumsi,42000.0
2023-03-20,beli nasi ayam geprek,Konsumsi,54000.0
2023-08-05,konser musik,Hiburan,409000.0
2023-03-15,order oggi - meja,Belanja,400000.0
2024-03-27,bli pulpen,Belanja,207000.0
2023-07-23,botol minum tumbler vacuum,Belanja,175000.0
2023-12-20,langganan youtube premium,Hiburan,174000.0
2023-07-29,beli dove sensitive skin body,Belanja,115000.0
2021-06-13,jajan ayam lada,Konsumsi,71000.0
2022-10-03,pesen seblak jamur,Konsumsi,148000.0
2023-12-14,belanja di kkv,Belanja,292000.0
2024-04-06,beli huaiwen gaming keyboard k98,Belanja,149999.0
2023-02-12,cumi goreng tepung,Konsumsi,25000.0
2023-11-17,grabfood chicken pok,Konsumsi,72000.0
2023-01-31,order bahan bonsai kelapa,Belanja,15000.0
2023-01-14,madu,Kesehatan,201000.0
2023-08-17,beli meja belajar stand lipat,Belanja,155000.0
2023-12-23,tambal ban,Transportasi,176000.0
2023-11-28,menbox eau de,Belanja,47900.0
2024-11-19,beli cemilan 1/2kg - usus,Belanja,44650.0
2023-06-26,tambal ban,Transportasi,236000.0
2023-08-11,bli bakso,Konsumsi,23000.0
2024-11-18,beli make over silky smooth,Belanja,138000.0
2024-10-08,beli kipas angin model ac,Belanja,299000.0
2019-08-13,jajan lotek,Konsumsi,27000.0
2024-03-15,order promo hot sale,Belanja,91000.0
2023-06-09,nyicil bringhtwear paket 3 kaos,Belanja,99999.0
2023-04-19,byr bpjs,Tagihan,276000.0
2024-01-15,topup pubg,Hiburan,409000.0
2023-01-04,biaya rumah sakit,Kesehatan,428000.0
2024-12-02,telur ayam curah,Belanja,39900.0
2024-04-04,langganan spotify,Hiburan,354000.0
2019-09-02,grabfood large + extra,Konsumsi,62000.0
2023-03-12,grabfood richeese,Konsumsi,244000.0
2023-01-16,beli double cheese,Konsumsi,41000.0
2023-11-17,pesen pamer 5,Konsumsi,85000.0
2023-10-02,order ikan asin dendeng khas,Belanja,47000.0
2024-06-07,checkout mainan pull back model,Belanja,12700.0
2023-04-19,order karburator pe karbu pe,Belanja,92000.0
2023-10-21,nyicil gantungan kunci carabiner,Belanja,890.0
2022-02-19,grabfood geprek dada,Konsumsi,96000.0
2021-11-01,prekteh saus mentai,Konsumsi,84000.0
2024-09-19,mekans 1 set,Belanja,32000.0
2024-05-04,order sorban shemagh surban,Belanja,21200.0
2023-03-04,topup roblox,Hiburan,102000.0
2023-12-20,makan chatime,Konsumsi,217000.0
2024-05-01,beli pembersih kaca,Belanja,441000.0
2023-04-05,nyicil tp angola sapu,Belanja,55700.0
2024-02-25,order yieldmore - pupuk organik,Belanja,26899.0
2024-12-09,nyicil poster bounty one,Belanja,12900.0
2020-01-06,grabfood mini jumbo,Konsumsi,77000.0
2023-07-01,beli lego city 60222 snow,Belanja,250000.0
2023-06-17,patungan makan,Lain-lain,317000.0
2023-06-21,langganan netflix,Hiburan,96000.0
2023-11-25,order kain latar belakang,Belanja,60000.0
2024-04-04,isi e-money,Transportasi,45000.0
2022-05-09,beli paket lakor,Konsumsi,58000.0
2023-07-30,byr wifi indihome,Tagihan,606000.0
2023-05-23,mixue,Konsumsi,248000.0
2023-03-06,gofood ca toge,Konsumsi,85000.0
2023-02-23,case hp,Belanja,375000.0
2024-12-09,beli animo parfum 30ml dapat,Belanja,18500.0
2023-01-04,iuran rt,Tagihan,493000.0
2024-01-24,nyicil 1 dus mie sedaap,Belanja,129999.0
2023-01-11,karpet lantai turki ostrich,Belanja,161978.0
2024-01-12,checkout 1 box isi,Belanja,51000.0
2024-08-01,checkout seger baby blue,Belanja,33000.0
2024-12-29,order bubuk minuman capucino 1kg,Belanja,14900.0
2023-04-07,pulsa indosat,Tagihan,607000.0
2024-06-24,kremlin zipper hoodie,Belanja,349900.0
2024-01-11,beli under100 salsa lip,Belanja,19700.0
2023-10-16,order media tanam sekam,Belanja,7000.0
2023-04-20,beli roccky hoover manta,Belanja,99000.0
2023-08-13,checkout kipas angin miyako,Belanja,214000.0
2023-05-03,double choco,Konsumsi,29000.0
2023-08-24,koper dokumen president 18,Belanja,465000.0
2024-05-20,beli code male -,Belanja,348999.0
2024-06-26,nyicil tas selempang slempang,Belanja,155000.0
2023-09-04,checkout setrika kering philips hd-1173,Belanja,309000.0
2024-03-09,beli yume keset/karpet lantai ukuran,Belanja,63800.0
2023-02-21,pesen gado-gado,Konsumsi,47000.0
2023-08-05,tol jakarta,Transportasi,210000.0
2024-04-13,nyicil baju thrift,Belanja,846000.0
2023-05-11,checkout osram original t10,Belanja,8400.0
2023-05-29,order naruto anime kartun hiasan,Belanja,9900.0
2023-03-06,google one,Tagihan,478000.0
2022-05-11,jajan nasi goreng,Konsumsi,88000.0
2023-05-28,iuran sampah,Tagihan,941000.0
2024-03-17,tebus resep,Kesehatan,442000.0
2023-04-16,bli soto ayam,Konsumsi,51000.0
2024-06-23,nyicil alat bantu jahit,Belanja,12375.0
2024-01-14,beli lemari satu pintu/lemari,Belanja,525000.0
2023-11-11,token listrik,Tagihan,537000.0
2021-10-02,beli buy 1,Konsumsi,135000.0
2022-08-05,gofood thai tea,Konsumsi,114000.0
2023-08-24,beli emas antam,Investasi,895000.0
2024-01-06,jajan ketoprak,Konsumsi,250000.0
2023-08-09,uang duka,Lain-lain,422000.0
2023-12-29,shopeefood kantin kampus,Konsumsi,168000.0
2023-06-22,pulsa telkomsel,Tagihan,400000.0
2024-01-23,voucher game,Hiburan,341000.0
2022-10-29,jajan choco milo,Konsumsi,103000.0
2023-03-04,beli wardah exclusive matte,Belanja,63000.0
2024-03-23,goride ke minisoccer,Transportasi,54000.0
2024-02-06,beli sate kambing,Konsumsi,236000.0
2023-05-09,nyicil gantungan meja klip,Belanja,7497.0
2024-07-28,nyicil minyak rem mobil,Belanja,25000.0
2023-07-27,nyicil vention dash power,Belanja,430000.0
2023-05-11,beli buku anak noisy,Belanja,116000.0
2024-11-22,beli toa speaker corong masjid,Belanja,1000000.0
2023-03-23,deposit kos,Tempat Tinggal,450000.0
2023-10-26,order sarung bantal katun,Belanja,109250.0
2024-05-14,beli kasur,Tempat Tinggal,172000.0
2023-11-04,karaoke,Hiburan,250000.0
2024-03-04,nonton bioskop,Hiburan,277000.0
2024-01-09,checkout tokopedia,Belanja,107000.0
2023-06-03,main biliar,Hiburan,27000.0
2021-07-02,beli 3 lotis,Konsumsi,87000.0
2023-04-24,beli iga bakar,Konsumsi,54000.0
2024-07-15,order baepack tas selempang kanvas,Belanja,69900.0
2023-04-17,member gym,Kesehatan,33000.0
2023-09-10,nyicil sandal gunung selop,Belanja,165000.0
2023-10-07,servis motor,Transportasi,168000.0
2023-07-19,iuran sampah,Tagihan,505000.0
2021-07-24,pesen rica-rica ayam,Konsumsi,133000.0
2023-03-18,tagihan pdam,Tagihan,243000.0
2024-08-11,beli karburator c700 original,Belanja,450000.0
2024-06-20,beli boneka beruang super,Belanja,450000.0
2023-02-18,olike e100c wired earphone,Belanja,27500.0
2023-11-05,grabfood bakmi goreng seafood,Konsumsi,109000.0
2024-04-03,cicilan motor,Tagihan,489000.0
2023-05-03,jajan nasi goreng seafood,Konsumsi,49000.0
2023-09-13,"nyicil kacamata minus -4,50",Belanja,30000.0
2023-07-26,nyicil kabel lan utp cat,Belanja,93000.0
2024-04-29,order grey jack kacamata,Belanja,89000.0
2024-05-12,tolak angin,Kesehatan,228000.0
2024-07-01,order sleepmax bantal tidur sultan,Belanja,79999.0
2023-02-04,admin mandiri,Lain-lain,302000.0
2023-06-29,gofood lotek,Konsumsi,59000.0
2023-12-13,iuran sampah,Tagihan,929000.0
2024-01-22,diskon !diskon ! rak,Belanja,150000.0
2024-03-26,order buku the richest man,Belanja,45000.0
2024-06-07,gorden blackout polos,Belanja,299999.0
2024-02-12,gofood janji jiwa,Konsumsi,50000.0
2024-01-16,nyicil kubis / kol sayur,Belanja,9790.0
2023-08-31,byr bpjs,Tagihan,195000.0
2020-03-28,gofood jeruk panas/es,Konsumsi,35000.0
2024-03-16,tebus resep,Kesehatan,177000.0
2023-11-22,grabfood thai green,Konsumsi,42000.0
2023-03-17,tagihan pdam,Tagihan,38000.0
2023-10-12,nyicil shampoo awday super keratin,Belanja,34900.0
2024-03-10,shumo meja tulis kantor,Belanja,625000.0
2023-05-19,checkout polo vienna 901 size,Belanja,191000.0
2024-04-20,platini kemeja pria koko,Belanja,159000.0
2023-08-19,topup stockbit,Investasi,910000.0
2023-02-13,iuran keamanan,Tagihan,337000.0
2022-11-28,pesen salad buah,Konsumsi,47000.0
2023-03-06,karaoke,Hiburan,90000.0
2024-01-02,order troveast urban jacket outdoor,Belanja,275000.0
2024-12-12,checkout mouse murah kualitas,Belanja,19000.0
2023-08-21,makan mie tarik,Konsumsi,33000.0
2023-08-21,checkout [diskon] you cloud paint,Belanja,58103.0
2023-05-04,tiket busway,Transportasi,218000.0
2023-12-17,pre-workout,Kesehatan,288000.0
