tanggal,deskripsi_transaksi,kategori,nominal
2024-04-11,order custom poca frame photocard,Belanja,54650.0
2023-05-10,order daymoton sarung tangan motor,Transportasi,49900.0
2024-01-21,beli seblak prasmanan,Konsumsi,73000.0
2024-01-01,brasov parfum pria eau,Belanja,52580.0
2021-11-26,biaya denda tilang polisi lalu lintas apes banget kena tilang,Lain-lain,227692.0
2024-10-11,biaya urut tradisional keseleo lagi pegel-pegel abis olahraga,Kesehatan,23294.0
2023-06-03,mie gacoan lv warung langganan di kantin,Konsumsi,85000.0
2021-09-23,"biar gak mati lampu, bayar paket data by.u 50gb",Tagihan,589250.0
2023-03-19,"ikhlasin aja dah, kasih print skripsi berwarna jilid",Lain-lain,14250.0
2023-12-22,patungan sewa kosan ac bulanan,Tagihan,137868.0
2021-09-11,ongkos urus kotak amal masjid jumat lagi buat jaga-jaga amal,Lain-lain,18126.0
2024-01-16,gofood ketoprak telur dadar,Konsumsi,217000.0
2022-07-05,beli tiket konser musik indie dan nongkrong warkop sampe pagi,Hiburan,77815.0
2023-05-20,topup akulaku cicilan hp bulan ini lunas,Tagihan,133000.0
2023-07-12,periksa obat bodrex extra buat buat jaga kondisi badan,Kesehatan,352000.0
2022-10-23,mie ayam di abang-abang,Konsumsi,41000.0
2023-05-30,checkout the originote 3in1,Kesehatan,109000.0
2023-12-08,pengeluaran uang kas kelas bendahara dan sumbangan rt 17an,Lain-lain,316000.0
2024-05-23,order lipmatte natura soft,Investasi,93750.0
2022-11-25,pelunasan kredivo limit baru dan kartu kredit bca everyday,Tagihan,78693.0
2023-10-29,alokasi emas antam 1 gram pas target 1 miliar pensiun,Investasi,227519.0
2023-01-25,beli (paket komplit) gorden,Belanja,35574.0
2023-04-28,"cicil tiap bulan disiplin, dollar cost averaging saham tlkm telkom",Investasi,643533.0
2022-05-03,nyumbang sumbangan rt 17an wajib banget dibayar,Lain-lain,3836.0
2024-12-26,nambal angkot 06 biar gak telat kelas,Transportasi,72244.0
2024-11-20,16 inch sarung,Belanja,199900.0
2023-08-25,obat bodrex extra lagi pusing berat nugas,Kesehatan,291000.0
2023-05-24,order masker medis surgical /,Kesehatan,9899.0
2021-09-05,nasi + ayam deket rumah,Konsumsi,145000.0
2022-03-26,pengeluaran ongkir anteraja same day,Lain-lain,21089.0
2023-03-10,mie ayam pangsit yamin mumpung lewat,Konsumsi,210000.0
2023-01-24,topup token listrik pln 100k dan iuran rt/rw komplek,Tagihan,69810.0
