tanggal,jam,deskripsi_transaksi,kategori,nominal,tipe_transaksi,metode_pembayaran,lokasi_merchant,status_transaksi,device_os,catatan_user,Nama Toko,Lokasi Toko,Terjual,Jumlah Ulasan,Rating,Diskon (%),Produk URL,id,review,rating,createdAt,lastComment,qtyItem,orderedAt,tagsData,replayComment,timeReplayComment
,,order custom poca frame photocard,Belanja,54650.0,,,,,,,Tokopedia Seller,Indonesia,0 terjual,0 ulasan,0.0,0.0,https://www.tokopedia.com/p/custom-poca-frame-photocard-holder-akrilik-2-sisi,,,,,,,,,,
,,Order Daymoton Sarung Tangan Motor,Transportasi,49900.0,,,,,,,Daymoton Official,Bandung,250+ terjual,120 ulasan,4.9,44.0,https://www.tokopedia.com/daymoton/daymoton-sarung-tangan-motor-half-finger-series-r9,,,,,,,,,,
1/21/2024,6:14,Beli Seblak Prasmanan,Konsumsi,73000.0,Pengeluaran,Gopay,Online,Berhasil,iOS 17,,,,,,,,,,,,,,,,,,
3/8/2023,16:00,"Titip Ibu Kos Di Depan, Ganti Cairan Karbol Wipol",Tempat Tinggal,1927264.0,Pengeluaran,QRIS,Online,Berhasil,iOS 16,buat laporan,,,,,,,,,,,,,,,,,
,,Brasov Parfum Pria Eau,Belanja,52580.0,,,,,,,Brasov Official Store,Jakarta,2rb+ terjual,1rb+ ulasan,4.9,0.0,https://www.tokopedia.com/brasov/brasov-parfum-pria-eau-de-parfume-35-ml-combo-3-pcs-signature,,,,,,,,,,
,,Checkout PAKET SOUND CAFE RESTO,Belanja,1430000.0,,,,,,,Zona Audio_NEW,Jakarta Barat,100+ terjual,0 ulasan,4.9,0.0,https://www.tokopedia.com/zonaaudio-new/paket-sound-cafe-resto-speaker-dusenberg-4-inch-4-speaker-set-1,,,,,,,,,,
11/26/2021,18:27,Biaya Denda Tilang Polisi Lalu Lintas Apes Banget Kena Tilang,Lain-lain,227692.0,Pengeluaran,Dana,Majalaya Core,Berhasil,Android 12,,,,,,,,,,,,,,,,,,
10/11/2024,13:29,Biaya Urut Tradisional Keseleo Lagi Pegel-Pegel Abis Olahraga,Kesehatan,23294.0,Pengeluaran,OVO,Depok,Berhasil,iOS 16,pake promo,,,,,,,,,,,,,,,,,
,,mie gacoan lv warung langganan di kantin,Konsumsi,85000.0,Pengeluaran,,,,,,,,,,,,,3a7844f9-230c-4248-b0d7-b815d78a26b7,sayangnya sedikit lama,5.0,2023-06-03T14:28:15.537182+07:00,,4.0,2023-06-03T06:47:19.452464Z,CANNED_RESPONSE_TASTE CANNED_RESPONSE_HYGIENE CANNED_RESPONSE_FRESHNESS CANNED_RESPONSE_PACKAGING CANNED_RESPONSE_CUTLERY CANNED_RESPONSE_PORTION CANNED_RESPONSE_VALUE,,
9/23/2021,15:22,"Biar Gak Mati Lampu, Bayar Paket Data By.U 50Gb",Tagihan,589250.0,Pengeluaran,LinkAja,Bandung,Berhasil,Android 14,pake promo,,,,,,,,,,,,,,,,,
3/19/2023,18:32,"Ikhlasin Aja Dah, Kasih Print Skripsi Berwarna Jilid",Lain-lain,14250.0,Pengeluaran,ShopeePay,Depok,Berhasil,Android 12,,,,,,,,,,,,,,,,,,
12/22/2023,19:10,Patungan Sewa Kosan Ac Bulanan,Tempat Tinggal,137868.0,Pengeluaran,OVO,Jakarta,Berhasil,Android 14,,,,,,,,,,,,,,,,,,
4/28/2023,14:29,Transaksi Lainnya,,75000.0,Pengeluaran,ovo,Bdg,Berhasil,iOS 16,,,,,,,,,,,,,,,,,,
9/11/2021,14:24,Ongkos Urus Kotak Amal Masjid Jumat Lagi Buat Jaga-Jaga Amal,Lain-lain,18126.0,Pengeluaran,ShopeePay,Tangerang,Berhasil,iOS 17,,,,,,,,,,,,,,,,,,
1/16/2024,12:50,Gofood Ketoprak Telur Dadar,Konsumsi,217000.0,Pengeluaran,Gopay,Depok,Berhasil,Android 13,,,,,,,,,,,,,,,,,,
7/5/2022,17:56,Beli Tiket Konser Musik Indie Dan Nongkrong Warkop Sampe Pagi,Hiburan,77815.0,Pengeluaran,Cash,Bekasi,Berhasil,Android 14,pake promo,,,,,,,,,,,,,,,,,
10/7/2023,7:21,Transaksi Lainnya,,,Pengeluaran,Cash,Surabaya,Berhasil,Windows Web,,,,,,,,,,,,,,,,,,
5/20/2023,2:33,Topup Akulaku Cicilan Hp Bulan Ini Lunas,Tagihan,133000.0,Pengeluaran,Gopay,Depok,Berhasil,iOS 17,,,,,,,,,,,,,,,,,,
7/12/2023,10:01,Periksa Obat Bodrex Extra Buat Buat Jaga Kondisi Badan,Kesehatan,352000.0,Pengeluaran,ovo,,Berhasil,iOS 17,,,,,,,,,,,,,,,,,,
,,Checkout PEPE JEANS PJ3340-1,Transportasi,990000.0,,,,,,,Pepe Jeans Eyewear,Kota Administrasi Jakarta Pusat,3 terjual,2 ulasan,5.0,0.0,https://www.tokopedia.com/search?st=product&q=PEPE%20JEANS%20PJ3340-1,,,,,,,,,,
,,mie ayam di abang-abang,Konsumsi,41000.0,Pengeluaran,,,,,,,,,,,,,8f40350c-378d-46d7-b847-28666f08f8e2,mie ayamnya enak,5.0,2022-10-23T11:14:57.716849+07:00,,1.0,2022-10-17T04:51:45.344715Z,CANNED_RESPONSE_TASTE,,
,,checkout the originote 3in1,Kesehatan,109000.0,,,,,,,The Originote_NEW,Jakarta,100rb+ terjual,1000+ ulasan,4.9,50.0,https://www.tokopedia.com/theoriginotenew/the-originote-3in1-bundle-basic-skincare,,,,,,,,,,
