tanggal,jam,deskripsi_transaksi,kategori,nominal,tipe_transaksi,metode_pembayaran,lokasi_merchant,status_transaksi,device_os,catatan_user
5/1/2024,13:49,KONSUL ALODOKTER,,297000.0,Pengeluaran,Mandiri,jkt,Pending,iOS 16,kembalian ambil aja
3/9/2024,13:31,JOKI TUGAS,Pendapatan,2399000.0,Pemasukan,BCA Virtual Account,Depok,Berhasil,Windows Web,
11/10/2023,12:28,Isi Saldo Flazz,Transportasi,181000.0,Pengeluaran,OVO,Jakarta,Berhasil,Android 12,
1/16/2024,10:52,freelance web,Pendapatan,9640000.0,Pemasukan,CASH,tangsel,Berhasil,Android 12,
11/3/2024,9:27,langganan disney+,,,Pengeluaran,ovo,Tangerang,Berhasil,Android 13,
12/21/2023,2:59,termometer,Kesehatan,,Pengeluaran,GOPAY,Surabaya,Berhasil,iOS 17,jangan pedes
1/11/2023,21:14,Member Gym,Kesehatan,492000.0,Pengeluaran,QRIS,Online,Berhasil,iOS 17,
10/7/2023,8:40,pulsa telkomsel,Tagihan,331000.0,Pengeluaran,OVO,tangsel,Berhasil,Android 13,
11/12/2023,10:02,ShopeeFood Soto Lamongan,Konsumsi,,Pengeluaran,OVO,Surabaya,Berhasil,Windows Web,
2/5/2023,5:33,Pajak Motor,Lain-lain,109000.0,Pengeluaran,OVO,jkt,Berhasil,iOS 16,
5/25/2023,3:41,cashback ovo,,,Pemasukan,Mandiri,JAKARTA,Berhasil,Android 12,
25/07/2023,20:12,patungan listrik kos,Tempat Tinggal,2656000.0,Pengeluaran,ovo,jkt,Berhasil,iOS 17,
13/02/2023,2:10,cashback ovo,,3356000.0,Pemasukan,Gopay,Bandung,Berhasil,iOS 17,titip satpam
11/11/2023,8:14,denda telat bayar,Lain-lain,147000.0,Pengeluaran,Gopay,jkt,Berhasil,Windows Web,
5/5/2024,4:20,Deposit Aset Crypto Tokocrypto,Investasi,545000.0,Pengeluaran,QRIS,JAKARTA,Berhasil,iOS 16,
16/01/2023,10:51,ongkir anteraja,Lain-lain,290000.0,Pengeluaran,Gopay,,Berhasil,Windows Web,
14/11/2023,22:25,cicilan motor,Tagihan,701000.0,Pengeluaran,CASH,,Pending,Android 12,
12/8/2023,0:31,isi e-money,,180000.0,Pengeluaran,ovo,,Berhasil,iOS 16,
3/31/2024,6:25,ZINK,Kesehatan,,Pengeluaran,qris,Online,Berhasil,iOS 17,ukuran XL
12/21/2023,4:55,futsal,,,Pengeluaran,BCA Virtual Account,Bdg,Berhasil,Windows Web,
2/26/2023,21:53,deposit kos,Tempat Tinggal,2093000.0,Pengeluaran,QRIS,,Berhasil,iOS 17,
1/1/2024,23:48,shopeefood nasi uduk kebon kacang,Konsumsi,73000.0,Pengeluaran,Mandiri,Bandung,Berhasil,Android 12,warna hitam
8/28/2023,22:25,patungan makan,,122000.0,Pengeluaran,CASH,JAKARTA,Berhasil,iOS 17,
8/25/2023,10:40,Topup E-Toll Untuk Tol Jakarta,Transportasi,65000.0,Pengeluaran,CASH,Online,Berhasil,Android 13,
3/21/2024,13:18,protein shake,Kesehatan,418000.0,Pengeluaran,OVO,tangsel,Berhasil,Android 12,segera proses ya
5/17/2023,17:06,Karaoke,Hiburan,,Pengeluaran,Cash,,Berhasil,iOS 16,jangan pedes
13/08/2023,14:05,Topup Stockbit,,460000.0,Pengeluaran,CASH,Bdg,Berhasil,iOS 16,titip satpam
3/11/2024,8:10,iuran sampah,,639000.0,Pengeluaran,Cash,,Berhasil,Windows Web,
26/11/2023,10:24,Refund Hotel,Pendapatan,8339000.0,Pemasukan,CASH,,Berhasil,iOS 17,titip satpam
3/5/2024,14:15,Biaya Bengkel: Ganti Oli,Transportasi,,Pengeluaran,Gopay,jkt,Berhasil,iOS 17,kembalian ambil aja
12/14/2023,2:23,main bowling,Hiburan,352000.0,Pengeluaran,QRIS,Surabaya,Berhasil,iOS 17,
2/8/2024,22:46,pre-workout,Kesehatan,382000.0,Pengeluaran,BCA Virtual Account,Depok,Berhasil,Android 12,
1/14/2023,7:04,siomay,,98000.0,Pengeluaran,BCA Virtual Account,,Berhasil,iOS 17,
12/10/2023,6:29,IURAN RT,,193000.0,Pengeluaran,ovo,tangsel,Berhasil,Android 13,
1/28/2024,14:01,ongkir anteraja,Lain-lain,231000.0,Pengeluaran,ovo,Jakarta,Gagal,Windows Web,
25/05/2023,16:07,paket data telkomsel,,270000.0,Pengeluaran,QRIS,,Berhasil,Android 12,
23/06/2023,21:15,Deposit Kos,Tempat Tinggal,2086000.0,Pengeluaran,BCA Virtual Account,,Berhasil,Android 12,warna hitam
5/31/2023,11:35,DEPOSIT KOS,,-176000.0,Pengeluaran,Mandiri,jkt,Berhasil,Windows Web,
9/24/2023,11:15,PAKET DATA XL,Tagihan,862000.0,Pengeluaran,GOPAY,tangsel,Berhasil,Android 12,
7/1/2024,23:49,DEPOSIT KOS,Tempat Tinggal,2749000.0,Pengeluaran,GOPAY,Online,Pending,Android 12,
3/8/2023,17:31,PHOTOBOX,Hiburan,192000.0,Pengeluaran,OVO,JAKARTA,Pending,Windows Web,
12/13/2023,15:34,tagihan kartu kredit,Tagihan,588000.0,Pengeluaran,Mandiri,Surabaya,Berhasil,iOS 16,
1/10/2024,3:35,shopeefood soto kudus,Konsumsi,19000.0,Pengeluaran,Gopay,tangsel,Berhasil,Android 13,
8/4/2023,16:11,Ayam Penyet,Konsumsi,63000.0,Pengeluaran,Cash,,Berhasil,Windows Web,
1/5/2023,21:03,laundry sepatu,Tempat Tinggal,1375000.0,Pengeluaran,Cash,Tangerang,Berhasil,Android 13,
7/23/2023,10:59,Pulsa Indosat,Tagihan,603000.0,Pengeluaran,qris,Online,Berhasil,iOS 17,
4/26/2024,4:50,Pesan Maxim Ke Minisoccer,Transportasi,66000.0,Pengeluaran,OVO,,Berhasil,iOS 16,
1/3/2024,3:24,admin bca,Lain-lain,480000.0,Pengeluaran,Cash,,Berhasil,iOS 17,
10/17/2023,10:55,main bowling,Hiburan,,Pengeluaran,QRIS,Online,Berhasil,Android 12,
4/5/2024,15:19,Ongkos Servis Motor,Transportasi,224000.0,Pengeluaran,GOPAY,Bdg,Berhasil,Android 12,
23/02/2023,3:58,Refund Hotel,,1205000.0,Pemasukan,Cash,jkt,Berhasil,iOS 16,jangan pedes
6/18/2023,5:32,Grabfood Burger King,Konsumsi,192000.0,Pengeluaran,GOPAY,,Berhasil,iOS 16,
4/13/2023,11:40,beli siomay,Konsumsi,43000.0,Pengeluaran,Gopay,,Gagal,Windows Web,
8/8/2023,3:19,Bayar Tol Jakarta,Transportasi,,Pengeluaran,BCA Virtual Account,Jakarta,Berhasil,iOS 17,
10/12/2023,8:35,nyicil snack,Belanja,1231000.0,Pengeluaran,GOPAY,tangsel,Berhasil,iOS 16,
